token_index	token	gaussian	surprisal	cached_grad
0	Sure	0.243475	2.014057	4.367043
1	,	0.280810	0.200000	1.890766
2	Ġif	0.322096	1.609822	0.953693
3	Ġthe	0.367432	0.352386	0.524787
4	Ġmoney	0.416855	3.000000	1.374289
5	Ġyou	0.470338	0.902864	0.974786
6	âĢĻre	0.527779	1.956887	1.856249
7	Ġsending	0.588995	0.344534	1.420312
8	Ġout	0.653714	1.918338	0.502734
9	Ġis	0.721574	0.274539	0.581676
10	Ġgoing	0.792121	1.738642	0.936434
11	Ġto	0.864806	0.200000	0.921093
12	Ġa	0.938995	0.600062	0.838636
13	Ġfake	1.013969	1.535614	1.480397
14	Ġaccount	1.088938	1.254913	1.292471
15	Ġof	1.163050	1.241900	0.845028
16	Ġsome	1.235410	1.045901	0.680113
17	Ġsort	1.305091	0.392334	0.854616
18	,	1.371158	0.264855	0.342294
19	Ġit	1.432686	0.517868	0.624183
20	âĢĻs	1.488784	0.973870	0.832883
21	Ġstill	1.538613	0.442139	0.581356
22	Ġa	1.581409	0.430478	0.215252
23	Ġphishing	1.616502	0.200000	1.003551
24	Ġscam	1.643331	0.200000	0.671804
25	.	1.661464	0.200000	0.800284
26	ĠThese	1.670606	1.390925	1.590340
27	Ġare	1.670606	1.074812	1.581391
28	Ġreally	1.661464	2.797662	4.159941
29	Ġcommon	1.643331	1.781737	1.023366
30	Ġtypes	1.616502	0.930616	0.726775
31	Ġof	1.581409	0.200000	0.449361
32	Ġscams	1.538613	0.213936	1.355113
33	Ġthat	1.488784	0.367219	0.710795
34	Ġcome	1.432686	2.001076	1.511079
35	Ġthrough	1.371158	1.349834	1.608238
36	Ġemail	1.305091	0.732359	1.268820
37	,	1.235410	0.564535	0.438494
38	Ġor	1.163050	2.125279	0.829687
39	Ġfrom	1.088938	1.811703	0.562819
40	Ġsocial	1.013969	1.147014	1.434374
41	Ġmedia	0.938995	0.200000	1.707954
42	Ġpages	0.864806	2.465852	1.109658
43	Ġthat	0.792121	0.576093	0.364027
44	Ġappear	0.721574	0.833650	0.552592
45	Ġto	0.653714	0.200000	0.272141
46	Ġbe	0.588995	0.200000	0.331427
47	Ġreal	0.527779	1.205049	0.389595
48	Ġbut	0.470338	0.396039	0.447763
49	Ġaren	0.416855	0.695270	0.471093
50	âĢĻt	0.367432	0.200000	0.677556
51	.	0.322096	0.272849	1.058522
52	<|im_end|>	0.280810	3.000000	0.000348
53	Ċ	0.243475	0.200000	0.000000
