token_index	token	gaussian	surprisal	cached_grad
0	Using	0.235259	2.653409	4.694855
1	Ġthe	0.254063	2.141381	3.414931
2	Ġpast	0.273948	3.000000	11.009866
3	Ġas	0.294935	2.878989	1.314127
4	Ġa	0.317042	0.200000	0.927090
5	Ġguide	0.340283	0.843964	2.338426
6	Ġto	0.364666	0.859240	0.983795
7	Ġpredict	0.390195	2.017739	1.773172
8	Ġthe	0.416871	0.611695	0.573355
9	Ġfuture	0.444685	0.356907	0.983795
10	Ġis	0.473626	0.370588	1.006297
11	Ġhelpful	0.503676	2.663462	1.980192
12	,	0.534809	0.586344	0.434967
13	Ġbut	0.566994	0.200000	1.133210
14	Ġnot	0.600193	2.324721	0.939691
15	Ġperfect	0.634358	2.476375	1.763271
16	.	0.669439	0.200000	1.355531
17	Ġ	0.705373	2.384001	0.912688
18	ĠWhen	0.742095	1.492577	1.212417
19	Ġestimating	0.779528	2.375587	1.653460
20	Ġthe	0.817591	0.459457	0.531051
21	Ġlength	0.856196	1.588863	1.927987
22	Ġof	0.895245	0.200000	1.244820
23	Ġtime	0.934636	1.109687	1.052202
24	Ġyou	0.974262	1.390814	0.881635
25	Ġthink	1.014006	2.693345	0.722320
26	Ġit	1.053751	0.576302	0.333032
27	Ġwill	1.093370	0.200000	0.386137
28	Ġtake	1.132736	0.200000	0.565705
29	Ġto	1.171716	0.472921	0.322456
30	Ġcomplete	1.210174	0.200000	0.389288
31	Ġa	1.247974	0.200000	0.306930
32	Ġtask	1.284977	0.200000	0.729971
33	,	1.321045	0.200000	1.045901
34	Ġtry	1.356037	1.036680	1.801974
35	Ġlooking	1.389818	2.914503	1.071104
36	Ġat	1.422251	0.200000	0.684516
37	Ġyour	1.453204	0.952457	0.864534
38	Ġlast	1.482549	2.741750	1.525648
39	Ġattempt	1.510163	1.690274	1.996393
40	Ġto	1.535927	0.743703	0.506299
41	Ġdo	1.559730	0.802652	0.454544
42	Ġthat	1.581468	0.718015	0.534652
43	Ġtask	1.601045	0.200000	0.319531
44	,	1.618374	0.946054	0.527451
45	Ġor	1.633376	0.820028	1.180914
46	,	1.645984	2.585968	0.763274
47	Ġif	1.656140	0.245951	0.866784
48	Ġthat	1.663799	0.987809	0.724120
49	âĢĻs	1.668924	0.933777	0.786676
50	Ġnot	1.671493	0.200000	1.154812
51	Ġhelpful	1.671493	2.148426	0.987396
52	,	1.668924	0.200000	0.497748
53	Ġtry	1.663799	0.691420	1.755170
54	Ġother	1.656140	3.000000	1.958590
55	Ġpossible	1.645984	2.301782	2.201613
56	Ġsolutions	1.633376	1.529380	2.066600
57	Ġthat	1.618374	1.247986	0.612959
58	Ġseem	1.601045	2.436476	1.479743
59	Ġreasonably	1.581468	2.725439	1.846979
60	Ġsimilar	1.559730	1.601279	1.100807
61	Ġto	1.535927	0.414579	0.588207
62	Ġwhat	1.510163	1.090046	0.672365
63	Ġyou	1.482549	0.200000	0.506749
64	Ġwant	1.453204	1.836803	0.610259
65	Ġto	1.422251	0.200000	0.305130
66	Ġaccomplish	1.389818	0.475129	0.747072
67	.	1.356037	0.451333	0.533302
68	Ġ	1.321045	0.265564	0.475246
69	ĠThen	1.284977	1.664365	1.194416
70	Ġsee	1.247974	2.084019	0.740772
71	Ġhow	1.210174	0.247562	0.871284
72	Ġmuch	1.171716	1.254601	0.880735
73	Ġtime	1.132736	0.336132	0.515300
74	Ġit	1.093370	0.320692	0.336183
75	Ġtakes	1.053751	0.326102	0.508099
76	Ġto	1.014006	0.294029	0.349909
77	Ġcomplete	0.974262	0.531511	0.584157
78	Ġeach	0.934636	0.506812	0.848782
79	Ġof	0.895245	0.501583	0.706568
80	Ġthose	0.856196	0.200000	1.825377
81	,	0.817591	1.541877	0.193181
82	Ġand	0.779528	0.200000	0.256975
83	Ġuse	0.742095	1.276794	0.478396
84	Ġthis	0.705373	2.033560	0.270701
85	Ġinformation	0.669439	0.554634	0.180918
86	Ġto	0.634358	0.200000	0.195656
87	Ġestimate	0.600193	0.586788	0.349009
88	Ġhow	0.566994	0.320222	0.286003
89	Ġlong	0.534809	0.200000	0.423716
90	Ġit	0.503676	0.225468	0.487847
91	Ġwill	0.473626	0.200000	0.356660
92	Ġtake	0.444685	0.200000	0.846532
93	Ġfor	0.416871	1.820092	0.836631
94	Ġyou	0.390195	0.297088	0.219171
95	Ġto	0.364666	0.200000	0.197232
96	Ġcomplete	0.340283	0.335068	0.536452
97	Ġyour	0.317042	0.965359	0.473896
98	Ġgoal	0.294935	1.213830	0.171692
99	.	0.273948	0.318778	0.323581
100	<|im_end|>	0.254063	0.811465	0.000429
101	Ċ	0.235259	0.200000	0.000000
