token_index	token	gaussian	surprisal	cached_grad
0	To	0.244156	2.350377	0.000000
1	Ġmake	0.283082	0.200000	0.000000
2	Ġthe	0.326277	2.095750	0.000000
3	Ġfirst	0.373845	3.000000	0.000000
4	Ġlayer	0.425821	1.911301	0.000000
5	Ġof	0.482162	0.200000	0.000000
6	Ġcake	0.542736	1.967832	0.000000
7	,	0.607316	0.200000	0.000000
8	Ġyou	0.675571	0.272533	0.000000
9	âĢĻll	0.747063	1.354532	0.000000
10	Ġneed	0.821247	0.200000	0.000000
11	Ġto	0.897472	0.809872	0.000000
12	Ġbeat	0.974985	1.921536	0.000000
13	Ġ	1.052944	1.330128	0.000000
14	4	1.130427	1.775068	0.000000
15	Ġeggs	1.206453	0.459983	0.000000
16	Ġwith	1.279995	0.806135	0.000000
17	Ġ	1.350008	0.200000	0.000000
18	1	1.415451	0.465864	0.000000
19	/	1.475310	0.649914	0.000000
20	2	1.528628	0.200000	0.000000
21	Ġcup	1.574530	0.200000	0.000000
22	Ġof	1.612241	0.200000	0.000000
23	Ġwater	1.641116	2.084823	0.000000
24	Ġuntil	1.660653	1.270469	0.000000
25	Ġfluffy	1.670509	2.191714	0.000000
26	.	1.670509	0.337441	0.000000
27	Ġ	1.660653	1.940143	0.000000
28	ĠThen	1.641116	0.280718	0.000000
29	Ġyou	1.612241	1.863424	0.000000
30	âĢĻll	1.574530	0.319988	0.000000
31	Ġneed	1.528628	0.616813	0.000000
32	Ġto	1.475310	0.200000	0.000000
33	Ġmix	1.415451	0.847772	0.000000
34	Ġ	1.350008	0.543412	0.000000
35	1	1.279995	0.272480	0.000000
36	Ġ	1.206453	1.296508	0.000000
37	1	1.130427	0.200000	0.000000
38	/	1.052944	0.200000	0.000000
39	4	0.974985	0.971014	0.000000
40	Ġcups	0.897472	0.200000	0.000000
41	Ġof	0.821247	0.200000	0.000000
42	Ġsugar	0.747063	0.340924	0.000000
43	Ġwith	0.675571	0.646972	0.000000
44	Ġ	0.607316	0.200000	0.000000
45	1	0.542736	0.310695	0.000000
46	Ġcup	0.482162	1.001424	0.000000
47	Ġof	0.425821	0.200000	0.000000
48	Ġflour	0.373845	0.819341	0.000000
49	.	0.326277	0.935306	0.000000
50	<|im_end|>	0.283082	3.000000	0.000000
51	Ċ	0.244156	0.200000	0.000000
