token_index	token	gaussian	surprisal	cached_grad
0	I	0.237493	0.952868	1.721635
1	Ġdo	0.261209	2.140500	1.927797
2	Ġknow	0.286610	1.131587	1.929003
3	Ġof	0.313734	0.200000	1.390088
4	Ġsome	0.342608	0.630911	0.929538
5	Ġevents	0.373251	0.811231	0.694441
6	Ġthat	0.405668	0.200000	0.503048
7	Ġhave	0.439852	0.298917	0.491293
8	Ġbeen	0.475784	0.200000	0.763162
9	Ġheavily	0.513428	2.951570	1.896451
10	Ġcovered	0.552733	0.678679	1.505828
11	Ġup	0.593633	0.200000	1.411789
12	Ġby	0.636044	1.141312	0.927730
13	Ġthe	0.679865	1.078095	0.591058
14	Ġmainstream	0.724979	1.840502	2.770530
15	Ġmedia	0.771248	0.200000	1.537174
16	Ġor	0.818520	0.751363	0.715539
17	Ġgovernment	0.866626	1.479218	1.084461
18	.	0.915377	1.021725	0.978969
19	ĠThis	0.964574	1.656697	1.888011
20	Ġis	1.013998	0.457479	1.621568
21	Ġthe	1.063422	1.816487	1.848226
22	Ġnumber	1.112604	2.752146	3.238313
23	Ġof	1.161294	0.792293	2.055593
24	Ġtimes	1.209234	1.350197	2.618621
25	Ġthat	1.256160	0.920583	2.088145
26	Ġparticular	1.301806	2.670451	2.715071
27	Ġkinds	1.345904	3.000000	1.269525
28	Ġof	1.388189	0.200000	0.834294
29	Ġaircraft	1.428399	3.000000	4.627195
30	Ġwere	1.466281	0.905084	0.930744
31	Ġsaid	1.501590	1.334386	1.543202
32	Ġto	1.534095	0.200000	0.803550
33	Ġhave	1.563578	0.238552	0.480141
34	Ġbeen	1.589840	0.270622	0.754722
35	Ġdeployed	1.612702	3.000000	1.598661
36	Ġby	1.632004	0.688538	0.602211
37	Ġa	1.647611	0.941830	0.477730
38	Ġparticular	1.659415	0.881133	0.761353
39	Ġcountry	1.667331	0.343145	0.663095
40	,	1.671303	0.668270	0.919893
41	Ġbased	1.671303	1.936871	2.642734
42	Ġon	1.667331	0.200000	1.015741
43	Ġthe	1.659415	0.727304	0.325519
44	Ġnumber	1.647611	1.425176	0.759545
45	Ġof	1.632004	0.200000	0.550067
46	Ġtimes	1.612702	1.173405	0.865037
47	Ġeach	1.589840	2.377940	0.523845
48	Ġaircraft	1.563578	0.564053	1.286404
49	Ġwas	1.534095	0.200000	0.522941
50	Ġspecifically	1.501590	2.043383	0.987408
51	Ġmentioned	1.466281	0.422669	1.158607
52	Ġby	1.428399	0.877766	0.937978
53	Ġname	1.388189	1.798084	0.408105
54	Ġin	1.345904	0.242414	0.200888
55	Ġthe	1.301806	0.389047	0.305174
56	Ġofficial	1.256160	1.208660	1.060951
57	Ġnews	1.209234	1.082044	1.351508
58	,	1.161294	1.557752	0.346015
59	Ġwhich	1.112604	1.650437	0.606430
60	Ġis	1.063422	0.580610	0.710114
61	Ġthen	1.013998	1.296104	0.892767
62	Ġcompared	0.964574	1.634215	0.632954
63	Ġto	0.915377	0.200000	0.269759
64	Ġthe	0.866626	0.245247	0.158389
65	Ġnumber	0.818520	0.436187	0.424381
66	Ġof	0.771248	0.200000	0.251825
67	Ġtimes	0.724979	0.272447	0.340288
68	Ġthe	0.679865	0.449439	0.252277
69	Ġsame	0.636044	0.383013	0.664300
70	Ġnumber	0.593633	2.437367	0.343001
71	Ġof	0.552733	0.200000	0.171199
72	Ġaircraft	0.513428	0.200000	0.306078
73	Ġwere	0.475784	0.205404	0.361085
74	Ġknown	0.439852	2.452485	0.375251
75	Ġto	0.405668	0.200000	0.211889
76	Ġhave	0.373251	0.200000	0.152210
77	Ġbeen	0.342608	0.200000	0.179186
78	Ġdeployed	0.313734	0.209016	0.339083
79	.	0.286610	1.014005	0.999465
80	<|im_end|>	0.261209	2.225917	0.000202
81	Ċ	0.237493	0.200000	0.000000
