token_index	token	gaussian	surprisal	cached_grad
0	I	0.238906	1.586339	1.707757
1	âĢĻm	0.265777	2.858958	3.680632
2	Ġglad	0.294783	2.693427	4.298301
3	Ġyou	0.325976	0.200000	1.858649
4	Ġasked	0.359388	0.440534	1.614683
5	!	0.395037	0.200000	2.435422
6	ĠĊĊ	0.432920	3.000000	2.865534
7	Go	0.473014	3.000000	1.702116
8	Ġto	0.515272	0.200000	1.178225
9	Ġthe	0.559622	0.310057	1.006180
10	Ġmanufacturer	0.605967	1.771855	3.189881
11	âĢĻs	0.654184	0.691367	1.305849
12	Ġwebsite	0.704120	0.200000	1.425011
13	Ġand	0.755595	1.383834	0.514372
14	Ġenter	0.808403	2.933501	2.150561
15	Ġyour	0.862308	0.200000	0.586292
16	Ġcomputer	0.917051	0.444560	1.215596
17	Ġmodel	0.972345	1.231696	1.225467
18	Ġinto	1.027882	1.565448	0.585235
19	Ġthe	1.083334	0.200000	0.352903
20	Ġsearch	1.138354	0.200000	1.468022
21	Ġbar	1.192582	0.200000	0.765036
22	.	1.245649	0.200000	0.465367
23	ĠThis	1.297176	1.178012	0.553505
24	Ġwill	1.346784	0.200000	0.534467
25	Ġshow	1.394098	1.579026	0.889839
26	Ġyou	1.438748	0.200000	0.944131
27	Ġa	1.480377	0.683958	0.573953
28	Ġpage	1.518643	2.263041	1.084447
29	Ġwith	1.553228	0.509287	0.540461
30	Ġall	1.583839	1.787844	0.977271
31	Ġof	1.610211	1.215507	0.509084
32	Ġthe	1.632114	0.200000	0.701576
33	Ġimportant	1.649355	3.000000	1.079511
34	Ġinformation	1.661782	0.270384	0.676193
35	Ġabout	1.669283	0.200000	0.494629
36	Ġthe	1.671791	1.051486	0.234799
37	Ġcomputer	1.669283	0.564915	0.504853
38	,	1.661782	0.227564	0.359778
39	Ġincluding	1.649355	0.200000	1.002655
40	Ġhow	1.632114	2.807436	1.876981
41	Ġto	1.610211	1.171905	0.412837
42	Ġaccess	1.583839	0.847599	0.456201
43	Ġthe	1.553228	0.527329	0.176981
44	ĠBIOS	1.518643	0.200000	2.058897
45	Ġsettings	1.480377	0.314918	0.435753
46	.	1.438748	0.325180	0.491809
47	ĠĊĊ	1.394098	0.802298	1.054127
48	You	1.346784	1.294819	0.630714
49	Ġcan	1.297176	0.401018	0.865160
50	Ġalso	1.245649	1.603180	0.975156
51	Ġtry	1.192582	0.894429	0.798880
52	Ġsearching	1.138354	0.865638	1.551224
53	Ġthe	1.083334	1.219302	0.325228
54	Ġinternet	1.027882	0.319787	0.967400
55	Ġfor	0.972345	0.200000	0.490751
56	ĠâĢľ	0.917051	2.050898	1.176815
57	check	0.862308	2.584952	0.985732
58	ĠBIOS	0.808403	0.200000	2.431191
59	âĢĿ	0.755595	2.131227	0.379345
60	Ġand	0.704120	0.984276	0.452675
61	Ġother	0.654184	1.829171	0.369826
62	Ġsimilar	0.605967	0.295149	0.436106
63	Ġterms	0.559622	0.573119	0.261417
64	.	0.515272	0.466902	0.702634
65	ĠĊĊ	0.473014	2.189418	0.687122
66	I	0.432920	2.018719	0.612381
67	Ġhope	0.395037	0.572308	0.510494
68	Ġthis	0.359388	0.200000	0.246962
69	Ġhelps	0.325976	0.200000	0.439278
70	!	0.294783	0.200000	0.481585
71	<|im_end|>	0.265777	0.389708	0.000098
72	Ċ	0.238906	0.200000	0.000000
